project_id	publication_id	project_number	publication_number	title	description	publication_date	publication_type	project_type	project_subtype	contracting_authority	canton	city	postal_code	country	submission_deadline	process_type	lots_type	estimated_amount	estimated_currency	award_decision_date	number_of_submissions	cpv_code	additional_cpv_codes	bkp_codes	ebkph_codes	ebkpt_codes	npk_codes	order_type	construction_type	construction_category	creation_language	interessant_vorhersage	interessant_wahrscheinlichkeit	combined_relevance_score
68408cb9-7cbb-42a3-bee6-8b795e0aeab1	34705cd1-60ce-46be-9600-e2bd10962dc5	23155	23155-01	EPM Binningen - BKP 211 Baumeisterarbeiten	Baumeisterarbeiten, Neubau eines Schulhauses, Umbau eines Bestandsbau, Arbeit in mehreren EtappenWährend der gesamten Bauzeit bleibt der Schulbetrieb in vollem Umfang erhalten.	2025-10-27	tender	tender	construction	Bauabteilung Binningen	BL	Binningen	4102	CH	2025-12-08T16:00:00+01:00	open	without					{'code': '45210000', 'label': {'de': 'Bauleistungen im Hochbau', 'en': 'Building construction work', 'fr': 'Travaux de construction de bâtiments', 'it': 'Lavori generali di costruzione di edifici'}}	[{'code': '45214200', 'label': {'de': 'Bauarbeiten für Schulgebäude', 'en': 'Construction work for school buildings', 'fr': 'Travaux de construction de bâtiments scolaires', 'it': 'Lavori di costruzione di edifici scolastici'}}]	"[{'code': '211', 'label': {'de': 'Baumeisterarbeiten', 'en': ""Builder's work"", 'fr': ""Travaux de l'entreprise de maçonnerie"", 'it': 'Opere da impresario costruttore'}}]"				construction	execution	structural_engineering	de	1	0.813110000920623	0.0
964a6d2d-5852-41c1-b3c2-a952e5e25d13	fb07efda-9bda-4c7b-9205-8cba33eb0236	23386	23386-01	Schulcampus Dorf - BKP 281.0 Unterlagsböden, Hartbeton-/ Fugenlose Bodenbeläge	Beim vorliegenden Projekt handelt es sich um die Erweiterung des Schulcampus Dorf, Binnigen (SCD).Vom Untergeschoss bis und mit Bodenplatte Erdgeschoss wird der Rohbau als klassische Stützen- Plattenkonstruktion in Stahlbeton ausgeführt. Die Geschossen Erdgeschoss bis 2. Obergeschoss werden aus einer Holzbau-Konstruktion mit einer Holz-Beton-Verbunddecke gefertigt. Das Gebäude wird als Schulhaus genutzt.Diese Ausschreibung enthält folgende Arbeiten / Bauteile:Lieferung und Montagen von Unterlagsböden, Harbtebonbelägen, Kunstharzbeläge, Markierungen	2025-09-16	tender	tender	construction	ARGE GP SCD - c/o Rapp AG	BL	Binningen	4102	CH	2025-10-29T16:00:00+01:00	open	without					{'code': '45210000', 'label': {'de': 'Bauleistungen im Hochbau', 'en': 'Building construction work', 'fr': 'Travaux de construction de bâtiments', 'it': 'Lavori generali di costruzione di edifici'}}		[{'code': '281', 'label': {'de': 'Bodenbeläge', 'en': 'Floor coverings', 'fr': 'Revêtement de sol', 'it': 'Pavimenti'}}]			[{'code': '286', 'label': {'de': 'Markierung auf Verkehrsflächen', 'en': 'Markings for traffic areas', 'fr': 'Marquages', 'it': 'Segnaletica stradale: Demarcazioni'}}, {'code': '661', 'label': {'de': 'Estriche schwimmend oder im Verbund', 'en': 'Floating and bonded screeds', 'fr': 'Chapes flottantes, chapes adhérentes', 'it': 'Massetti'}}, {'code': '662', 'label': {'de': 'Bodenbeläge aus Zement, Magnesia, Kunstharz und Bitumen', 'en': 'Cementitious, magnesium oxychloride (magnesite), synthetic resin and bitumen flooring', 'fr': 'Revêtements de sols: ciment, magnésie, résine et bitume', 'it': 'Pavimenti di cemento, magnesia, resina sintetica e bitume'}}]	construction	execution	structural_engineering	de	1	0.8080033708524481	0.0
205ed7e1-1c7d-4f65-9a79-1b445a71d428	dd50dd83-13df-4ea7-896a-d4e956da1d36	24362	24362-01	EPM Binningen - BKP 244 Lüftungsanlagen	Ausführung von 244 Lüftungsanlagen: Neubau Schulhaus mit haustechnischen Anlagen. Anpassungsarbeiten im Bereich Bestandsbau.	2025-10-17	tender	tender	construction	Bauabteilung Binningen	BL	Binningen	4102	CH	2025-11-27T16:00:00+01:00	open	without					"{'code': '45311000', 'label': {'de': 'Installation von Elektroanlagen', 'en': 'Electrical wiring and fitting work', 'fr': ""Travaux de câblage et d'installations électriques"", 'it': 'Lavori di cablaggio e di connessione elettrici'}}"		"[{'code': '244', 'label': {'de': 'Lufttechnische Anlagen', 'en': 'Ventilation and air-conditioning installations', 'fr': ""Installations de ventilation et de conditionnement d'air"", 'it': 'Impianti di ventilazione'}}]"				construction	execution	structural_engineering	de	1	0.7774447735253134	0.0
f05138b7-0a97-4e9a-aa89-75fc8b5fe46e	92e5f4cb-2ec3-4a61-8698-553a89db5ef2	27011	27011-01	Schulcampus Dorf - BKP 281.1 Fugenlose Bodenbeläge - Sporthallenbelag	Beim vorliegenden Projekt handelt es sich um die Erweiterung des Schulcampus Dorf, Binnigen (SCD).Vom Untergeschoss bis und mit Bodenplatte Erdgeschoss wird der Rohbau als klassische Stützen- Plattenkonstruktion in Stahlbeton ausgeführt. Die Geschossen Erdgeschoss bis 2. Obergeschoss werden aus einer Holzbau-Konstruktion mit einer Holz-Beton-Verbunddecke gefertigt. Das Gebäude wird als Schulhaus genutzt.Diese Ausschreibung enthält folgende Arbeiten / Bauteile:Lieferung und Montagen von kombielastischen Sportbelägen, inkl. MarkierungenLieferung und Montagen von Dämmung und Unterbau	2025-11-17	tender	tender	construction	ARGE GP SCD - c/o Rapp AG	BL	Binningen	4102	CH	2026-01-09T14:00:00+01:00	open	without					{'code': '45210000', 'label': {'de': 'Bauleistungen im Hochbau', 'en': 'Building construction work', 'fr': 'Travaux de construction de bâtiments', 'it': 'Lavori generali di costruzione di edifici'}}		[{'code': '281.2', 'label': {'de': 'Bodenbeläge aus Kunststoffen, Textilien und dgl.', 'en': 'Synthetic and textile floor coverings and the like', 'fr': 'Revêtements de sol en matières synthétiques, textiles, etc.', 'it': 'Pavimenti in materiale sintetico, tessile e simili'}}]			"[{'code': '187', 'label': {'de': 'Sportbeläge für Freianlagen und Hallen', 'en': 'Sports coverings for indoor and outdoor facilities', 'fr': ""Revêtements sportifs d'installations en plein air, en salle"", 'it': ""Pavimenti sportivi all'aperto e all'interno""}}, {'code': '661', 'label': {'de': 'Estriche schwimmend oder im Verbund', 'en': 'Floating and bonded screeds', 'fr': 'Chapes flottantes, chapes adhérentes', 'it': 'Massetti'}}]"	construction	execution	structural_engineering	de	1	0.7727080517998999	0.0
e40301ad-4b37-4302-9507-e9349a28428c	e24b0199-e593-4b70-bb67-e49a07d498cd	23149	23149-01	EPM Binningen - BKP 250 Sanitäranlagen	Ausführung von 250 Sanitäranlagen: Neubau Schulhaus mit haustechnischen Anlagen. Anpassungsarbeiten im Bereich Bestandsbau.	2025-10-17	tender	tender	construction	Bauabteilung Binningen	BL	Binningen	4102	CH	2025-11-27T16:00:00+01:00	open	without					"{'code': '45332400', 'label': {'de': 'Installation von Sanitäreinrichtungen', 'en': 'Sanitary fixture installation work', 'fr': ""Travaux d'installation d'appareils sanitaires"", 'it': 'Lavori di installazione di apparecchiature idrosanitarie'}}"		[{'code': '25', 'label': {'de': 'Sanitäranlagen', 'en': 'Sanitary installations', 'fr': 'Installations sanitaires', 'it': 'Impianti sanitari'}}]				construction	execution	structural_engineering	de	1	0.7634314935317716	0.0
93e7d90d-a517-45f8-871b-5f99e33357f2	6e0d849a-f03e-4895-84a7-101742fc4f1c	26463	26463-01	Rückbau FGV Hagnau, BKP 112 Abbrucharbeiten	Der Bearbeitungsperimeter des Familiengartenareals „FGV Hagnau“ umfasst rund 78 Gartenparzellen auf einer Fläche von 18‘000 m2.&nbsp;Die Stadtgärtnerei der Stadt Basel unterhält die Parzelle seit vielen Jahren. Diese wiederum verpachtet die einzelnen Gartenparzellen an die Gartenpächter weiter.&nbsp;Während der jahrzehntelangen Nutzung der Gärten wurden grosse Mengen von Material (Beton, Holz, Eternit, Plastik, Ziegel etc.) eingesetzt und umgeschlagen. Teils wurde das Material für den Bau der Gartenhäuser eingesetzt und für die Gestaltung der Umgebung (Gärten). Des Weiteren gelangten, aufgrund der früheren Verwendung von Asche als Dünger und Kehrichtkompost sowie schwermetallhaltigen Pflanzenschutzmitteln, gewisse Schadstoffe wie Blei, Cadmium, Kupfer, Zink und PAK in den Boden.&nbsp;In einer Voruntersuchung konnte festgestellt werden, dass viele Bauteile der Gartenhäuser und mehrheitlich alle Bodenproben einer mehr oder weniger starken Belastung ausgesetzt sind.	2025-11-07	tender	tender	construction	Bau- und Verkehrsdepartement des Kantons Basel-Stadt, Kantonale Fachstelle für öffentliche Beschaffungen (KFöB)	BL	Birsfelden	4127	CH	2025-12-02T12:00:00+01:00	open	without					{'code': '45200000', 'label': {'de': 'Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten', 'en': 'Works for complete or part construction and civil engineering work', 'fr': 'Travaux de construction complète ou partielle et travaux de génie civil', 'it': 'Lavori per la costruzione completa o parziale e ingegneria civile'}}		[{'code': '112', 'label': {'de': 'Rückbau', 'en': 'Deconstruction', 'fr': 'Déconstruction', 'it': 'Smontaggi, demolizioni'}}]				construction	execution	civil_engineering	de	1	0.7630574764826069	0.0
b16def1f-b60f-4d80-8316-630d60957a36	6ad2e8af-1454-45e5-ac97-a0f813ed840a	26605	26605-01	Primarschule, Ersatz Wärmeerzeugung	Für das Schulareal der Gemeinde Zwingen soll eine neue Wärmeerzeugeranlage installiert werden. Die neue Wärmeerzeugeranlage mit zwei identischen Grundwasserwärmepumpen wird im Technikraum im 2. Untergeschoss im bestehenden Technikraum installiert. Die Wärmeverteilung wird neu aufgebaut und an die bestehenden Leitungen angeschlossen. Der Öltankraum wird für die Energiespeicher umgenutzt. Die Grundwasserbrunnen sowie die Leitungen sind bereits bis ins 1. Untergeschoss vorbereitet.	2025-11-10	tender	tender	construction	Gemeinde Zwingen	BL	Zwingen	4222	CH	2025-12-05T16:00:00+01:00	open	without					"{'code': '45331100', 'label': {'de': 'Installation von Zentralheizungen', 'en': 'Central-heating installation work', 'fr': ""Travaux d'installation de chauffage central"", 'it': 'Lavori di installazione di impianti di riscaldamento centrale'}}"						construction	execution	structural_engineering	de	1	0.7598859444094048	0.0
23d3a10b-f45a-44ca-a280-ce60b4a9b557	46355e67-9291-431d-bdb4-6587115dbcbc	24965	24965-01	Sanierung Schulhaus Hintere Matten Trakt 2 und 3, 4107 Ettingen	Lieferung und Montage von neuen Verglasungen, Aussentüren und Schiebetüren, sowohl aus Alu- aber auch Stahlsystemen. Etappierte Gesamtsanierung von zwei Gebäuden.	2025-10-17	tender	tender	construction	Gemeinde Ettingen	BL	Ettingen	4107	CH	2025-11-20T00:00:00+01:00	open	without					{'code': '45000000', 'label': {'de': 'Bauarbeiten', 'en': 'Construction work', 'fr': 'Travaux de construction', 'it': 'Lavori di costruzione'}}		[{'code': '221.4', 'label': {'de': 'Fenster aus Aluminium', 'en': 'Aluminium windows', 'fr': 'Fenêtre en aluminium', 'it': 'Finestre di alluminio'}}, {'code': '221.6', 'label': {'de': 'Aussentüren, Tore aus Metall', 'en': 'External metal doors', 'fr': 'Portes extérieures en métal', 'it': 'Porte esterne, portoni di metallo'}}]				construction	execution	structural_engineering	de	1	0.7598005933425046	0.0
6be86356-744d-4083-98a5-28218d6b9576	185b77c2-1e5d-4d73-844a-45bd99024703	23866	23866-03	Beschaffung Saug- und Spülfahrzeug mit Wasseraufbereitung für Kanalreinigung	Beschaffung eines neuen Saug-/Spülfahrzeuges mit Wasseraufbereitung, inkl. Lieferung an den Erfüllungsort, betriebsbereite Übergabe sowie Grundschulung des Bedienpersonals und Zubehör gemäss Pflichtenheft.	2025-09-25	tender	tender	supply	Zentrale Beschaffungsstelle	BL	Liestal	4410	CH	2025-11-03T15:00:00+01:00	open	without					{'code': '34144500', 'label': {'de': 'Fahrzeuge für Abfall und Abwasser', 'en': 'Vehicles for refuse and sewage', 'fr': 'Véhicules pour ordures et eaux usées', 'it': 'Autoveicoli per il trasporto di rifiuti e acque residue'}}	[{'code': '34114000', 'label': {'de': 'Spezialfahrzeuge', 'en': 'Specialist vehicles', 'fr': 'Véhicules à usage spécial', 'it': 'Autovetture speciali'}}, {'code': '34144000', 'label': {'de': 'Kraftfahrzeuge für besondere Zwecke', 'en': 'Special-purpose motor vehicles', 'fr': 'Véhicules automobiles à usage spécifique', 'it': 'Autoveicoli per usi speciali'}}]					supply			de	1	0.7592289168846137	0.0
2cf39a1b-0352-49e9-b767-925b9cd72330	52b022dc-ef70-4df4-9d03-499ccdde75ca	23094	23094-01	EPM Binningen - BKP 230 Elektroanlagen	Ausführung von 230 Elektroanlagen: Neubau Schulhaus mit haustechnischen Anlagen. Anpassungsarbeiten im Bereich Bestandsbau.inkl. Lieferung der Leuchten sowie Installation Photovoltaikanlage	2025-10-18	tender	tender	construction	Bauabteilung Binningen	BL	Binningen	4102	CH	2025-11-28T16:00:00+01:00	open	without					"{'code': '45311000', 'label': {'de': 'Installation von Elektroanlagen', 'en': 'Electrical wiring and fitting work', 'fr': ""Travaux de câblage et d'installations électriques"", 'it': 'Lavori di cablaggio e di connessione elettrici'}}"		[{'code': '231.5', 'label': {'de': 'Energieerzeugungsanlagen', 'en': 'Energy production systems', 'fr': 'Equipements de production d’énergie électrique', 'it': 'Impianti per la produzione di energia'}}, {'code': '232', 'label': {'de': 'Starkstrominstallationen', 'en': 'Power wiring', 'fr': 'Installations à courant fort', 'it': 'Impianti a corrente forte'}}, {'code': '233', 'label': {'de': 'Leuchten und Lampen', 'en': 'Luminaires and lamps', 'fr': 'Luminaires', 'it': 'Apparecchi per illuminazione, lampade'}}]				construction	execution	structural_engineering	de	1	0.7550862980277322	0.0
