"project_id","publication_id","publication_date","pub_type","title","description","cpv","bkp","npk","oag","ebkp-h","ebkp-t","country","canton","city","project_type","process_type","order_type","award_criteria","qualification_criteria","submission_deadline","estimated_value","award_value","proc_office_name"
"871d045a-85d7-43d6-b066-1830edc234d8","9ffb1a44-46ec-4081-b130-58b19c406842","2025-11-14","award","Ersatz der Netzwerkausrüstung in den Rechenzentren des Staates Wallis","Die Walliser Kantonsverwaltung bereitet sich darauf vor, Anfang 2026 ein neues Rechenzentrum in Betrieb zu nehmen, das einen der beiden derzeitigen Standorte ersetzen soll. Dies erfordert eine Modernisierung des Netzwerks aufgrund veralteter Geräte sowie eine Migration auf eine neue Zielarchitektur.","code; label","","","","","","CH","VS","Sitten","tender","open","supply","","","","","CHF 1,637,558.26","Service cantonal de l'informatique / Kantonale Dienststelle für Informatik"
"26fd3e4b-3327-4151-b1ba-8dd8882178e9","c185b16a-dcc0-497b-a4e0-0d8d820fd2f8","2025-11-14","award","Kantonales Verwaltungsgebäude am Seetalplatz (KVSE), Ausstattung Paket 1, Tische, Stauraum, BKP 903.1 Büromobiliar","Lieferung Ausstattung für Arbeitstische für das Kantonale Verwaltungsgebäude","code; label","","","","","","","","","tender","open","supply","","","","","CHF 941,092.66","Dienststelle Immobilien"
"33fd7011-ff87-4364-9f74-7211f0957d14","0e94e9c4-3799-4892-b605-51dc2af0a996","2025-11-14","award","Association Argos","Le projet immobilier prévoit les prestations suivantes par un groupe de mandataires en architecture, génie civil et groupe d’ingénieurs CVSE :• reconstruction d’une structure résidentielle• création d’appartements accompagnés• mise aux normes, modernisation et développement des ateliers• extension des bâtiments existants","code; label","","","","","","CH","GE","Troinex","tender","open","service","","","","","CHF 1,652,195.00","Bertrand Reich et Hervé Basset"
"d5479dac-79d5-44d4-8c2b-1924cbd3252a","2074586f-9e7f-4153-9d0e-4edaa0b3f19e","2025-11-14","award","Ersatz der Schliessanlage GFA Witikon sowie deren Integration in die bestehenden elektronischen Komponenten","Gegenstand dieser Ausschreibung ist der Ersatz der Schliessanlage GFA Witikon sowie deren Integration in die bestehenden elektronischen Komponenten im Rahmen eines Werkvertrags. Der Ersatz der mechanischen Schliessanlage sowie die Anpassung an den Sicherheitsstandard der Stadt Zürich umfassen unter anderem die Lieferung von 2200 Zylindern für Türen und Schränke sowie 900 Schlüsseln, die Installation von Verschlusstechnik (Motorschlösser, Panikschlösser), zwei Schlüsseldepots für den Bezug interner «hochwertiger Schlüssel», Montagearbeiten, Zutrittskontrolle mittels Badges und Programmierarbeiten.Es wird lediglich die mechanische Schliessanlage ersetzt; alle elektronischen Komponenten wie ELC Standalone/Online-Badge und Schlüsseldepots werden übernommen. Zudem müssen alle neuen Schlüssel in die Plattformen KEM 7.1 / Exos9300 integriert und auf die elektronischen Komponenten programmiert werden.","code; label","","","","","","CH","ZH","Zürich","tender","open","construction","","","","","CHF 365,064.35","HBD - Immobilien Stadt Zürich (IMMO)"
"c943f212-f5b6-457a-81b4-946ed0ffd64b","1a0d338b-973f-42d4-b015-b07638b8fc62","2025-11-14","award","Kantonales Verwaltungsgebäude am Seetalplatz (KVSE), Ausstattung Paket 2, Stehleuchten, Hängeleuchten, BKP 911 Beleuchtungen","Lieferung Ausstattung für die Beleuchtung für das Kantonale Verwaltungsgebäude","code; label","","","","","","","","","tender","open","supply","","","","","CHF 298,035.99","Dienststelle Immobilien"
"1510cd0c-e2ea-49e3-b0b4-5fe870c81267","39e83bea-6300-435a-9f70-83df03fc7cd0","2025-11-14","award","Kantonales Verwaltungsgebäude am Seetalplatz (KVSE), Ausstattung Paket 3, Sitzmobiliar, BKP 903 Büromobiliar","Lieferung Ausstattung Büromobiliar für das Kantonale Verwaltungsgebäude","code; label","","","","","","","","","tender","open","supply","","","","","CHF 270,132.82","Dienststelle Immobilien"
"fc8f9d99-2efc-4aed-b370-3c1f14e06eb4","096d588d-14c7-4902-b6c5-42de5993b395","2025-11-14","award","Kopie Morges–Perroy; neue Doppelspur (einschliesslich Tunnel): Generalplanerleistungen – Phase 31","Prestations d'étude phase SIA 31 : nouvelle double voie entre Morges et Perroy, comprenant une accroche depuis la sortie de la gare de Morges au Boiron de 3km, une entrée de tunnel de 6km de long, une accroche côté Perroy comprenant un saut de mouton sur 5 km et une accroche côté Allaman.","code; label","","","","","","CH","","","tender","open","service","","","","","CHF 14,029,280.15","SBB CFF FFS Achats projets de construction Région Ouest"
"fc309304-1738-41be-94de-75cf4377f153","03b8451e-015d-4359-bd4c-5c95fd6e2e88","2025-11-14","award","Laborhilfe für die Unterstützung des Laborbetriebs im Gewässerschutzlabor","Laborhilfe für die Unterstützung des Laborbetriebs im Gewässerschutzlabor gemäss beiliegendem Pflichtenheft","code; label","","","","","","CH","ZH","Zürich","tender","open","service","","","","","CHF 395,938.32","AWEL Abteilung Gewässerschutz / Gewässerschutzlabor Limnologie"
"b5481562-c734-40db-8991-753d734f48c8","517a6609-dfe5-4b17-a977-b400881dd823","2025-11-14","award","Kantonales Verwaltungsgebäude am Seetalplatz (KVSE), Ausstattung Paket 4, Textilien, Akustik, Zubehör, Teppiche, BKP 921 Textilien, Akustik","Lieferung Ausstattung für Textilien / Akustik für das Kantonale Verwaltungsgebäude","code; label","","","","","","","","","tender","open","supply","","","","","CHF 295,388.30","Kanton Luzern / Dienststelle Immobilien"
"ff45136a-d161-45b0-8a26-f6776fdd5c7f","57540a0e-ca44-41a0-84c0-7445c901b630","2025-11-14","award","Kantonales Verwaltungsgebäude am Seetalplatz (KVSE), Ausstattung Paket 5, Hotdesk, BKP 903 Büromobiliar Hotdesk","Lieferung Ausstattung für Büromobiliar, Hotdesk für das Kantonale Verwaltungsgebäude","code; label","","","","","","CH","LU","Emmen","tender","open","supply","","","","","CHF 397,627.26","Kanton Luzern / Dienststelle Immobilien"
