"project_id","publication_id","publication_date","pub_type","title","description","cpv","bkp","npk","oag","ebkp-h","ebkp-t","country","canton","city","project_type","process_type","order_type","award_criteria","qualification_criteria","submission_deadline","estimated_value","award_value","proc_office_name"
"237fa83a-1bd4-4629-83a8-369de0e4b029","bc66a530-557c-480f-bde8-639979935f92","2025-11-10","award","Überfahrmessanlagen CH-weit","Der Leistungsgegenstand umfasst die schweizweite Lieferung von Überfahrmessanlagen für alle Flotten der SBB AG inkl. derer Instandhaltung und Regelung der Intervention über die gesamte Lebensdauer der Anlagen.Weitere Informationen siehe Ausschreibungsunterlagen.","code; label","","","","","","CH","","","tender","open","supply","","","","","EUR 6,010,567.55","Schweizerische Bundesbahnen SBB Division Produktion Personenverkehr"
"94685d86-2ad4-40f0-9b1a-38032f0a1cb9","6f1bae26-fb8d-48b4-ae3e-36f2e2058aa6","2025-11-10","abandonment","Ersatzbeschaffung Geräteträger, Heckausleger-Mähgerät, Mähkopf und Anhänger","","","","","","","","CH","","","tender","open","","","","","","","Abteilung Tiefbau (ATB)"
"ecab2838-f4dc-468d-9ef2-885ff80bede8","93c6a34e-428e-40c7-b46b-df1569bf2312","2025-11-10","award","H18 - Contournement Est de La Chaux-de-Fonds / Lot 300.1 - Tunnel des Arêtes - Génie civil et travaux souterrains","Le lot 300.1 concerne la réalisation du tunnel routier des Arêtes, élément principal du contournement Est de La Chaux-de-Fonds par la route principale suisse H18. Il s’agit des travaux du tunnel comprenant l'excavation, les soutènements provisoires et définitifs, deux portails, une trémie, deux tranchées couvertes et les bâtiments d’exploitation. Les réseaux, les canalisations, l’infrastructure et une partie de la superstructure routière y compris pour les raccordements à ciel ouvert font partie du lot 300.1. Les digues, le démantèlement des infrastructures provisoires et le réaménagement du secteur sud du tunnel en font également partie.","code; label","","","","","","CH","NE","La Chaux-de-Fonds","tender","open","construction","","","","","CHF 110,811,386.75","Service des ponts et chaussées"
"bf2e67c8-5a1c-44e0-9b6a-827dc55f0fcf","b395b45f-e2d0-4164-8582-e32931055d9b","2025-11-10","award","QRM Leistungen für die Top Projekte des VBS","Die armasuisse beschafft im Auftrag für das GS-VBS externe QRM-Leistungen für die Top-Projekte des VBS. Die Top-Projekte des VBS müssen über ein Qualitäts- und Risikomanagement (QRM) verfügen. Das QRM bei den Top-Projekten des VBS wird deshalb zukünftig durch spezialisierte, externe Dienstleister erbracht. Die externen Dienstleister müssen befähigt sein, die Aufgaben des neutralen QRM inkl. allfälliger vertiefter Analysen in einem zugewiesenen Top-Projekt unabhängig durchzuführen mit direkter Berichterstattung an den jeweiligen Auftraggeber und adressatengerecht auch an weitere Zielgruppen.&nbsp;","code; label","","","","","","CH","","","tender","open","service","","","","","CHF 4,747,752.00; CHF 5,681,736.00; CHF 5,020,164.00","Bundesamt für Rüstung armasuisse"
"fd9bb0bd-439b-45bb-9fd1-e6ac1bd0041d","b0a4cb52-e183-4ab8-a178-00db21f6b0bf","2025-11-10","award","AP Flora (Rahmenvertrag 2026-2031), Set 5 Sonderstandorte","Die Fachstelle Naturschutz (FNS) ist die für den Vollzug der Naturschutzgesetzgebung zuständige Stelle im Kanton Zürich. Dies umfasst u.a. langfristiger Erhalt und Förderung besonders gefährdeter Floraarten. Dafür wurde ein «Aktionsplan Flora» als langjähriges Programm erarbeitet. Im Rahmen des Aktionsplan Flora ist bezeichnet, welche Arten mit besonderen Massnahmen langfristig erhalten und gefördert werden sollen. Für jede dieser Arten wurde bzw. wird ein artspezifischer Aktionsplan erarbeitet. Die daraus abgeleiteten Massnahmen werden durch Artverantwortliche im Rahmen dieses Auftrags geplant und umgesetzt. Mit der vorliegenden Ausschreibung wird der Auftrag zur Betreuung der Aktionsplanarten Sonderstandorte vergeben. Ein detaillierter Beschrieb der Aufgaben kann den Ausschreibungsunterlagen entnommen werden.","code; label","","","","","","CH","","","tender","open","service","","","","","CHF 135.00","Baudirektion Kanton Zürich, Amt für Landschaft und Natur, Fachstelle Naturschutz"
"5b26d8a5-e003-452b-a6fe-0a11fa3100a2","cdb5ab12-6c2e-44ea-b5f6-36e99b8d3ceb","2025-11-10","award","2025 KDL 014 Mobilitäts-Challenge «Autoverzicht»","Mit der Ausschreibung wird ein Partner gesucht, der die Mobilitäts-Challenges durchführt. Hierzu gehört insbesondere das Integrieren von geeigneten Shared-Mobility-Verkehrsträgern sowie das Gewinnen von Partnern.&nbsp;Das Ziel der Mobilitäts-Challenges ist, Autofahrende für den öffentlichen Verkehr zu gewinnen.&nbsp;Die Wirksamkeit des Formats von Mobilitäts-Challenges wurde in der Vergangenheit bestätigt: Autofahrende verzichten einen Monat auf die Nutzung ihres privaten Automobils und erhalten während dieser Zeit ein Mobilitätspaket mit öV-Abo und anderen «Shared-Mobility-Verkehrsträgern». Am Ende der Challenge werden durch gezielte Anreize der Erwerb eines öV-Abonnements sowie der Verkauf des Autos durch den Kanton/Stadt gefördert. Schlussendlich sollen die Mobilitäts-Challenges zu einer positiven Ertragswirkung im öV beitragen.Der Erfolg der Mobilitäts-Challenge hängt insbesondere von den Partnern ab: Es braucht Partner-Gemeinden respektive Städte oder Kantone, welche einen Beitrag leisten. Im Gegenzug zahlt die Mobilitäts-Challenge unter anderem auf unterschiedliche Klimaziele ein. Weiter braucht es Mobilitätspartner, welche das Mobilitätspaket anhand der lokalen Gegebenheiten mehrwertstiftend ergänzen. Auch sie profitieren, indem sie an Bekanntheit und Neukunden gewinnen.","code; label","","","","","","CH","","","tender","open","service","","","","","CHF 4,059,155.00","Schweizerische Bundesbahnen SBB, Konzerneinkauf Dienstleistungen"
"943cd38e-cf96-4e1c-852c-054c2f005570","e2135b3e-6187-4c94-83ee-e958b85f4f41","2025-11-10","award","EBP-372_Kabelverteilkabinen Beton","ewb beschafft jährlich schätzungsweise rund 18 Kabelverteilkabinen Beton für das Verteilnetz der Elektrizität. Diese lassen sich in die Grössen «mini» (ca. 2 Einheiten pro Jahr), «klein» (ca. 10 Einheiten pro Jahr) und «mittel» (ca. 6 Einheiten pro Jahr) einteilen. Ziel der Ausschreibungen ist es, das wirtschaftlich beste Angebot zu erreichen.","code; label","","","","","","CH","","","tender","open","supply","","","","","CHF 448,409.61","Energie Wasser Bern"
"7501e9fe-1d2b-4cfd-9f02-0447901fe155","b3496d5d-e631-46b1-a072-b20e1fe82375","2025-11-10","award","Beschaffung Dienstleistung Anti-Graffiti","Der Kanton Bern, vertreten durch das Amt für Grundstücke und Gebäude (AGG), schreibt hiermit die Beschaffung von Dienstleistung Anti-Graffiti aus.&nbsp;Die ausgeschriebenen Anti-Graffiti-Dienstleistungen beinhalten die Reinigung und/oder Oberflächenbehandlung der versprayten oder beschriebenen Flächen sowie die Erstbehandlung mit Graffitischutz in Abhängigkeit der Exposition und der Beschaffenheit der betreffenden Oberflächen. In der Folge sorgt die Beauftragte für «saubere» Oberflächen, indem sie Graffitis zeitnahe entfernt und, wo nötig, wieder Graffitischutz aufbringt.&nbsp;Über den vorliegend zu beschaffenden Rahmenvertrag sollen Verwaltungseinheiten der kantonalen Direktionen sowie der Staatskanzlei autonom d.h. dezentral Anti-Graffit-Dienstleistungen beziehen können. Weitere potenzielle Besteller sind die Justiz (JUS), d.h. die Gerichtsbehörden und die Staatsanwaltschaft. Darüber hinaus ist der hier beschaffte Rahmenvertrag auch anderen kantonalen Trägern öffentlicher Aufgaben im Kanton Bern zugänglich. Aber auch andere Träger öffentlicher Aufgaben sollen über die Rahmenverträge Leistungen beziehen können.&nbsp;Im Fokus der vorliegenden Beschaffung stehen Anti-Graffiti-Dienstleistungen für kantonale Objekte in folgenden politischen Gemeinden (Anzahl Objekte in Klammer):&nbsp;Bern (282)Ittigen (10)Köniz (27)Münchenbuchsee (29)Ostermundigen (14)Wohlen bei Bern (3)Zollikofen (49)&nbsp;Die obenstehende Aufzählung ist nicht abschliessend. Bei Bedarf werden der Zuschlagsempfängerin Aufträge an Objekten in weiteren Gemeinden in der Agglomeration Bern vergeben.","code; label","","","","","","CH","BE","Bern","tender","open","service","","","","","CHF 397,750.00","Zentrale Beschaffungsstelle Facility Management &Mobiliar (ZBS FM&M)"
"6084293a-0b1b-4af6-a069-96fdb1c8c19e","b862de13-df5a-4ac4-bb9e-09154eae35d8","2025-11-10","abandonment","Erneuerung Maschine (Water-to-Wire) KWKW Moutier","","","","","","","","CH","","","tender","open","","","","","","","Energie Service Biel/Bienne (ESB)"
"32c017b5-d0c8-43f7-b64c-e5ee7f9e8bc0","b49af078-7a10-4365-bbb6-f96db7eba0fe","2025-11-10","abandonment","MP-190041, N02 Lehnenviadukt Beckenried (LEHNBECK) Los 802 Ersatz Steigleitern Pfeilerschächte","","","","","","","","CH","","","tender","open","","","","","","","Bundesamt für Strassen ASTRA -Abteilung Strasseninfrastruktur-Ost - F3 Zofingen"
